From,To,Handicap,Differential,Tee
-3.3,-2.5,-4,-2.9,'m_white'
-2.4,-1.7,-3,-2.0,'m_white'
-1.6,-0.8,-2,-1.2,'m_white'
-0.7,0.1,-1,-0.3,'m_white'
0.2,1.0,0,0.6,'m_white'
1.1,1.9,1,1.5,'m_white'
2.0,2.8,2,2.4,'m_white'
2.9,3.7,3,3.3,'m_white'
3.8,4.6,4,4.2,'m_white'
4.7,5.5,5,5.1,'m_white'
5.6,6.4,6,6.0,'m_white'
6.5,7.2,7,6.9,'m_white'
7.3,8.1,8,7.7,'m_white'
8.2,9.0,9,8.6,'m_white'
9.1,9.9,10,9.5,'m_white'
10.0,10.8,11,10.4,'m_white'
10.9,11.7,12,11.3,'m_white'
11.8,12.6,13,12.2,'m_white'
12.7,13.5,14,13.1,'m_white'
13.6,14.4,15,14.0,'m_white'
14.5,15.3,16,14.9,'m_white'
15.4,16.1,17,15.7,'m_white'
16.2,17.0,18,16.6,'m_white'
17.1,17.9,19,17.5,'m_white'
18.0,18.8,20,18.4,'m_white'
18.9,19.7,21,19.3,'m_white'
19.8,20.6,22,20.2,'m_white'
20.7,21.5,23,21.1,'m_white'
21.6,22.4,24,22.0,'m_white'
22.5,23.3,25,22.9,'m_white'
23.4,24.2,26,23.8,'m_white'
24.3,25.0,27,24.6,'m_white'
25.1,25.9,28,25.5,'m_white'
26.0,26.8,29,26.4,'m_white'
26.9,27.7,30,27.3,'m_white'
27.8,28.6,31,28.2,'m_white'
28.7,29.5,32,29.1,'m_white'
29.6,30.4,33,30.0,'m_white'
30.5,31.3,34,30.9,'m_white'
31.4,32.2,35,31.8,'m_white'
32.3,33.0,36,32.7,'m_white'
33.1,33.9,37,33.5,'m_white'
34.0,34.8,38,34.4,'m_white'
34.9,35.7,39,35.3,'m_white'
35.8,36.6,40,36.2,'m_white'
36.7,37.5,41,37.1,'m_white'
37.6,38.4,42,38.0,'m_white'
38.5,39.3,43,38.9,'m_white'
39.4,40.2,44,39.8,'m_white'
40.3,41.1,45,40.7,'m_white'
41.2,41.9,46,41.6,'m_white'
42.0,42.8,47,42.4,'m_white'
42.9,43.7,48,43.3,'m_white'
43.8,44.6,49,44.2,'m_white'
44.7,45.5,50,45.1,'m_white'
45.6,46.4,51,46.0,'m_white'
46.5,47.3,52,46.9,'m_white'
47.4,48.2,53,47.8,'m_white'
48.3,49.1,54,48.7,'m_white'
49.2,50.0,55,49.6,'m_white'
50.1,50.8,56,50.4,'m_white'
50.9,51.7,57,51.3,'m_white'
51.8,52.6,58,52.2,'m_white'
52.7,53.5,59,53.1,'m_white'
53.6,54.0,60,54.0,'m_white'
