tee;lower_bound;upper_bound;course_handicap;score_differential
m_white;-3.3;-2.5;-4;-2.9
m_white;-2.4;-1.7;-3;-2
m_white;-1.6;-0.8;-2;-1.2
m_white;-0.7;0.1;-1;-0.3
m_white;0.2;1;0;0.6
m_white;1.1;1.9;1;1.5
m_white;2;2.8;2;2.4
m_white;2.9;3.7;3;3.3
m_white;3.8;4.6;4;4.2
m_white;4.7;5.5;5;5.1
m_white;5.6;6.4;6;6
m_white;6.5;7.2;7;6.9
m_white;7.3;8.1;8;7.7
m_white;8.2;9;9;8.6
m_white;9.1;9.9;10;9.5
m_white;10;10.8;11;10.4
m_white;10.9;11.7;12;11.3
m_white;11.8;12.6;13;12.2
m_white;12.7;13.5;14;13.1
m_white;13.6;14.4;15;14
m_white;14.5;15.3;16;14.9
m_white;15.4;16.1;17;15.7
m_white;16.2;17;18;16.6
m_white;17.1;17.9;19;17.5
m_white;18;18.8;20;18.4
m_white;18.9;19.7;21;19.3
m_white;19.8;20.6;22;20.2
m_white;20.7;21.5;23;21.1
m_white;21.6;22.4;24;22
m_white;22.5;23.3;25;22.9
m_white;23.4;24.2;26;23.8
m_white;24.3;25;27;24.6
m_white;25.1;25.9;28;25.5
m_white;26;26.8;29;26.4
m_white;26.9;27.7;30;27.3
m_white;27.8;28.6;31;28.2
m_white;28.7;29.5;32;29.1
m_white;29.6;30.4;33;30
m_white;30.5;31.3;34;30.9
m_white;31.4;32.2;35;31.8
m_white;32.3;33;36;32.7
m_white;33.1;33.9;37;33.5
m_white;34;34.8;38;34.4
m_white;34.9;35.7;39;35.3
m_white;35.8;36.6;40;36.2
m_white;36.7;37.5;41;37.1
m_white;37.6;38.4;42;38
m_white;38.5;39.3;43;38.9
m_white;39.4;40.2;44;39.8
m_white;40.3;41.1;45;40.7
m_white;41.2;41.9;46;41.6
m_white;42;42.8;47;42.4
m_white;42.9;43.7;48;43.3
m_white;43.8;44.6;49;44.2
m_white;44.7;45.5;50;45.1
m_white;45.6;46.4;51;46
m_white;46.5;47.3;52;46.9
m_white;47.4;48.2;53;47.8
m_white;48.3;49.1;54;48.7
m_white;49.2;50;55;49.6
m_white;50.1;50.8;56;50.4
m_white;50.9;51.7;57;51.3
m_white;51.8;52.6;58;52.2
m_white;52.7;53.5;59;53.1
m_white;53.6;54;60;54
m_yellow;-3.4;-2.6;-6;-3
m_yellow;-2.5;-1.7;-5;-2.1
m_yellow;-1.6;-0.7;-4;-1.1
m_yellow;-0.6;0.2;-3;-0.2
m_yellow;0.3;1.2;-2;0.8
m_yellow;1.3;2.1;-1;1.7
m_yellow;2.2;3.1;0;2.6
m_yellow;3.2;4;1;3.6
m_yellow;4.1;4.9;2;4.5
m_yellow;5;5.9;3;5.5
m_yellow;6;6.8;4;6.4
m_yellow;6.9;7.8;5;7.3
m_yellow;7.9;8.7;6;8.3
m_yellow;8.8;9.6;7;9.2
m_yellow;9.7;10.6;8;10.2
m_yellow;10.7;11.5;9;11.1
m_yellow;11.6;12.5;10;12.1
m_yellow;12.6;13.4;11;13
m_yellow;13.5;14.4;12;13.9
m_yellow;14.5;15.3;13;14.9
m_yellow;15.4;16.2;14;15.8
m_yellow;16.3;17.2;15;16.8
m_yellow;17.3;18.1;16;17.7
m_yellow;18.2;19.1;17;18.6
m_yellow;19.2;20;18;19.6
m_yellow;20.1;20.9;19;20.5
m_yellow;21;21.9;20;21.5
m_yellow;22;22.8;21;22.4
m_yellow;22.9;23.8;22;23.4
m_yellow;23.9;24.7;23;24.3
m_yellow;24.8;25.7;24;25.2
m_yellow;25.8;26.6;25;26.2
m_yellow;26.7;27.5;26;27.1
m_yellow;27.6;28.5;27;28.1
m_yellow;28.6;29.4;28;29
m_yellow;29.5;30.4;29;29.9
m_yellow;30.5;31.3;30;30.9
m_yellow;31.4;32.2;31;31.8
m_yellow;32.3;33.2;32;32.8
m_yellow;33.3;34.1;33;33.7
m_yellow;34.2;35.1;34;34.7
m_yellow;35.2;36;35;35.6
m_yellow;36.1;37;36;36.5
m_yellow;37.1;37.9;37;37.5
m_yellow;38;38.8;38;38.4
m_yellow;38.9;39.8;39;39.4
m_yellow;39.9;40.7;40;40.3
m_yellow;40.8;41.7;41;41.2
m_yellow;41.8;42.6;42;42.2
m_yellow;42.7;43.5;43;43.1
m_yellow;43.6;44.5;44;44.1
m_yellow;44.6;45.4;45;45
m_yellow;45.5;46.4;46;46
m_yellow;46.5;47.3;47;46.9
m_yellow;47.4;48.3;48;47.8
m_yellow;48.4;49.2;49;48.8
m_yellow;49.3;50.1;50;49.7
m_yellow;50.2;51.1;51;50.7
m_yellow;51.2;52;52;51.6
m_yellow;52.1;53;53;52.5
m_yellow;53.1;53.9;54;53.5
m_yellow;54;54;55;54.4
w_red;-3.2;-2.3;-5;-2.8
w_red;-2.2;-1.4;-4;-1.8
w_red;-1.3;-0.4;-3;-0.9
w_red;-0.3;0.5;-2;0.1
w_red;0.6;1.5;-1;1.1
w_red;1.6;2.4;0;2
w_red;2.5;3.4;1;3
w_red;3.5;4.4;2;3.9
w_red;4.5;5.3;3;4.9
w_red;5.4;6.3;4;5.8
w_red;6.4;7.2;5;6.8
w_red;7.3;8.2;6;7.8
w_red;8.3;9.1;7;8.7
w_red;9.2;10.1;8;9.7
w_red;10.2;11.1;9;10.6
w_red;11.2;12;10;11.6
w_red;12.1;13;11;12.5
w_red;13.1;13.9;12;13.5
w_red;14;14.9;13;14.5
w_red;15;15.8;14;15.4
w_red;15.9;16.8;15;16.4
w_red;16.9;17.8;16;17.3
w_red;17.9;18.7;17;18.3
w_red;18.8;19.7;18;19.2
w_red;19.8;20.6;19;20.2
w_red;20.7;21.6;20;21.2
w_red;21.7;22.5;21;22.1
w_red;22.6;23.5;22;23.1
w_red;23.6;24.5;23;24
w_red;24.6;25.4;24;25
w_red;25.5;26.4;25;26
w_red;26.5;27.3;26;26.9
w_red;27.4;28.3;27;27.9
w_red;28.4;29.3;28;28.8
w_red;29.4;30.2;29;29.8
w_red;30.3;31.2;30;30.7
w_red;31.3;32.1;31;31.7
w_red;32.2;33.1;32;32.7
w_red;33.2;34;33;33.6
w_red;34.1;35;34;34.6
w_red;35.1;36;35;35.5
w_red;36.1;36.9;36;36.5
w_red;37;37.9;37;37.4
w_red;38;38.8;38;38.4
w_red;38.9;39.8;39;39.4
w_red;39.9;40.7;40;40.3
w_red;40.8;41.7;41;41.3
w_red;41.8;42.7;42;42.2
w_red;42.8;43.6;43;43.2
w_red;43.7;44.6;44;44.1
w_red;44.7;45.5;45;45.1
w_red;45.6;46.5;46;46.1
w_red;46.6;47.4;47;47
w_red;47.5;48.4;48;48
w_red;48.5;49.4;49;48.9
w_red;49.5;50.3;50;49.9
w_red;50.4;51.3;51;50.9
w_red;51.4;52.2;52;51.8
w_red;52.3;53.2;53;52.8
w_red;53.3;54;54;53.7
